#	尖音	拼音
积	zii1	ji1
绩	zii1	ji1
缉	zii1	ji1
唧	zii1	ji1
赍	zii1	ji1
跻	zii1	ji1
齑	zii1	ji1
𪟝	zii1	ji1
即	zii2	ji2
集	zii2	ji2
辑	zii2	ji2
疾	zii2	ji2
籍	zii2	ji2
嫉	zii2	ji2
藉	zii2	ji2
戢	zii2	ji2
塉	zii2	ji2
蒺	zii2	ji2
楫	zii2	ji2
嵴	zii2	ji2
耤	zii2	ji2
膌	zii2	ji2
踖	zii2	ji2
瘠	zii2	ji2
濈	zii2	ji2
潗	zii2	ji2
蹐	zii2	ji2
鹡	zii2	ji2
蕺	zii2	ji2
挤	zii3	ji3
济	zii3	ji3
脊	zii3	ji3
际	zii4	ji4
济	zii4	ji4
绩	zii4	ji4
迹	zii4	ji4
剂	zii4	ji4
祭	zii4	ji4
寂	zii4	ji4
鲫	zii4	ji4
𪟝	zii4	ji4
稷	zii4	ji4
穄	zii4	ji4
齌	zii4	ji4
穧	zii4	ji4
霁	zii4	ji4
鲚	zii4	ji4
哜	zii4	ji4
荠	zii4	ji4
尖	zian1	jian1
煎	zian1	jian1
歼	zian1	jian1
浅	zian1	jian1
笺	zian1	jian1
湔	zian1	jian1
戋	zian1	jian1
揃	zian1	jian1
牋	zian1	jian1
熸	zian1	jian1
櫼	zian1	jian1
鞯	zian1	jian1
鬋	zian1	jian1
篯	zian1	jian1
殱	zian1	jian1
剪	zian3	jian3
戬	zian3	jian3
翦	zian3	jian3
谫	zian3	jian3
彅	zian3	jian3
鬋	zian3	jian3
荐	zian4	jian4
渐	zian4	jian4
践	zian4	jian4
箭	zian4	jian4
贱	zian4	jian4
溅	zian4	jian4
饯	zian4	jian4
僭	zian4	jian4
洊	zian4	jian4
牮	zian4	jian4
𬣡	zian4	jian4
焦	ziao1	jiao1
椒	ziao1	jiao1
蕉	ziao1	jiao1
礁	ziao1	jiao1
鹪	ziao1	jiao1
艽	ziao1	jiao1
僬	ziao1	jiao1
燋	ziao1	jiao1
蟭	ziao1	jiao1
嚼	ziao2	jiao2
湫	ziao3	jiao3
醮	ziao4	jiao4
噍	ziao4	jiao4
皭	ziao4	jiao4
灂	ziao4	jiao4
将	ziang1	jiang1
浆	ziang1	jiang1
鳉	ziang1	jiang1
螀	ziang1	jiang1
奖	ziang3	jiang3
蒋	ziang3	jiang3
桨	ziang3	jiang3
酱	ziang4	jiang4
将	ziang4	jiang4
匠	ziang4	jiang4
虹	ziang4	jiang4
接	zie1	jie1
疖	zie1	jie1
节	zie2	jie2
截	zie2	jie2
捷	zie2	jie2
睫	zie2	jie2
婕	zie2	jie2
栉	zie2	jie2
卩	zie2	jie2
擳	zie2	jie2
巀	zie2	jie2
蠞	zie2	jie2
倢	zie2	jie2
姐	zie3	jie3
毑	zie3	jie3
借	zie4	jie4
藉	zie4	jie4
褯	zie4	jie4
唶	zie4	jie4
津	zin1	jin1
祲	zin1	jin1
尽	zin3	jin3
进	zin4	jin4
尽	zin4	jin4
晋	zin4	jin4
浸	zin4	jin4
烬	zin4	jin4
缙	zin4	jin4
荩	zin4	jin4
琎	zin4	jin4
瑨	zin4	jin4
祲	zin4	jin4
赆	zin4	jin4
浕	zin4	jin4
搢	zin4	jin4
精	zing1	jing1
睛	zing1	jing1
晶	zing1	jing1
菁	zing1	jing1
旌	zing1	jing1
腈	zing1	jing1
䴖	zing1	jing1
鼱	zing1	jing1
箐	zing1	jing1
井	zing3	jing3
阱	zing3	jing3
肼	zing3	jing3
汫	zing3	jing3
穽	zing3	jing3
净	zing4	jing4
静	zing4	jing4
靖	zing4	jing4
靓	zing4	jing4
婧	zing4	jing4
凊	zing4	jing4
揪	ziu1	jiu1
啾	ziu1	jiu1
鬏	ziu1	jiu1
酒	ziu3	jiu3
氿	ziu3	jiu3
就	ziu4	jiu4
鹫	ziu4	jiu4
僦	ziu4	jiu4
蹴	ziu4	jiu4
狙	zv1	jv1
疽	zv1	jv1
雎	zv1	jv1
苴	zv1	jv1
趄	zv1	jv1
砠	zv1	jv1
罝	zv1	jv1
娵	zv1	jv1
且	zv1	jv1
咀	zv3	jv3
沮	zv3	jv3
龃	zv3	jv3
聚	zv4	jv4
镌	zvan1	jvan1
睃	zvan1	jvan1
朘	zvan1	jvan1
隽	zvan4	jvan4
绝	zve2	jve2
爵	zve2	jve2
嚼	zve2	jve2
爝	zve2	jve2
俊	zvn4	jvn4
骏	zvn4	jvn4
峻	zvn4	jvn4
竣	zvn4	jvn4
浚	zvn4	jvn4
畯	zvn4	jvn4
隽	zvn4	jvn4
睃	zvn4	jvn4
焌	zvn4	jvn4
濬	zvn4	jvn4
寯	zvn4	jvn4
馂	zvn4	jvn4
鵕	zvn4	jvn4
鵔	zvn4	jvn4
七	cii1	qi1
柒	cii1	qi1
妻	cii1	qi1
戚	cii1	qi1
漆	cii1	qi1
栖	cii1	qi1
凄	cii1	qi1
沏	cii1	qi1
萋	cii1	qi1
缉	cii1	qi1
郪	cii1	qi1
桼	cii1	qi1
嘁	cii1	qi1
齐	cii2	qi2
脐	cii2	qi2
荠	cii2	qi2
懠	cii2	qi2
蛴	cii2	qi2
泣	cii4	qi4
砌	cii4	qi4
缉	cii4	qi4
葺	cii4	qi4
碛	cii4	qi4
妻	cii4	qi4
槭	cii4	qi4
咠	cii4	qi4
磩	cii4	qi4
千	cian1	qian1
仟	cian1	qian1
签	cian1	qian1
迁	cian1	qian1
佥	cian1	qian1
阡	cian1	qian1
芊	cian1	qian1
扦	cian1	qian1
钎	cian1	qian1
籖	cian1	qian1
前	cian2	qian2
钱	cian2	qian2
潜	cian2	qian2
荨	cian2	qian2
媊	cian2	qian2
灊	cian2	qian2
浅	cian3	qian3
倩	cian4	qian4
